State Name,District Name,Dealer Type,Agency Name,Sub District Name,Village Name
West Bengal,Bankura,RETAILER,Kotalpur Fsc Ltd,Kotulpur,
West Bengal,Bankura,RETAILER,Bhutsahar Skus Ltd,Simlapal,Bhutsahar
West Bengal,Bankura,RETAILER,Sonadipa Skus,Sonamukhi,Sona Dwipa
West Bengal,Bankura,RETAILER,Sendra Skus Ltd,Bankura - II,Sendra
West Bengal,Bankura,RETAILER,Sidhu-Kanu Lamps,Hirbandh,
West Bengal,Bankura,RETAILER,Keshia Kadra Skus Ltd,Khatra,Kesia
West Bengal,Bankura,RETAILER,Besora Skus Ltd,Chhatna,Penchasimul
West Bengal,Bankura,RETAILER,Dakai Dahala Skus Ltd.,Khatra,Dakai
West Bengal,Bankura,RETAILER,Maheshpur Skus,Sonamukhi,Mahespur (P)
West Bengal,Bankura,RETAILER,Satpatta Skus,Raipur,Satpatta
West Bengal,Bankura,RETAILER,Cngs Lamps,Raipur,
West Bengal,Bankura,RETAILER,Ladda Skus,Sarenga,
West Bengal,Bankura,RETAILER,Garrah Skus Ltd,Sarenga,
West Bengal,Bankura,RETAILER,Moynapur A Skus Ltd,Jaypur,Maynapur
West Bengal,Bankura,RETAILER,Jamkuri Skus Ltd,Patrasayer,Jamkuri
West Bengal,Bankura,RETAILER,Bon Dubrajpur Skus Ltd,Simlapal,Dubrajpur
West Bengal,Bankura,RETAILER,Kapista Skus Ltd,Bankura - I,Kapistha
West Bengal,Bankura,RETAILER,Hatirampur Skus Ltd,Khatra,
West Bengal,Bankura,RETAILER,Danna Konnagar Skus Ltd,Patrasayer,Danna
West Bengal,Bankura,RETAILER,Hat-Ashuria Skus,Barjora,Hatashuria
West Bengal,Bankura,RETAILER,Kshirsole Skus Ltd,Chhatna,Khirshol
West Bengal,Bankura,RETAILER,Upardihi Bakshibandh Skus Ltd,Chhatna,Upar Dihi
West Bengal,Bankura,RETAILER,Banogram Skus Ltd,Chhatna,Banagram
West Bengal,Bankura,RETAILER,Kantashi Skus,Kotulpur,Kantasi
West Bengal,Bankura,RETAILER,Simlapal Adibasi Lamps,Simlapal,
West Bengal,Bankura,RETAILER,Abhijit Guin,Kotulpur,
West Bengal,Bankura,RETAILER,Aditya Kumar  Ojha,Vishnupur,
West Bengal,Bankura,RETAILER,Ajit Kr. Ghosh,Kotulpur,Karak Berya
West Bengal,Bankura,RETAILER,Aloke Kumar Saha,Patrasayer,Argara
West Bengal,Bankura,RETAILER,Alok Kumar Laha,Kotulpur,
West Bengal,Bankura,RETAILER,Amal Kumar Pattanayak,Khatra,
West Bengal,Bankura,RETAILER,Amita Sahu,Khatra,Sub District Headquater
